index,location,population,2-24-20,2-25-20,2-26-20,2-27-20,2-28-20,2-29-20,3-01-20,3-02-20,3-03-20,3-04-20,3-05-20,3-06-20,3-07-20,3-08-20,3-09-20,3-10-20,3-11-20,3-12-20,3-13-20,3-14-20,3-15-20,3-16-20,3-17-20,3-18-20,3-19-20,3-20-20,3-21-20,3-22-20,3-23-20,3-24-20,3-25-20,3-26-20,3-27-20,3-28-20,3-29-20,3-30-20,3-31-20,4-01-20,4-02-20,4-03-20,4-04-20,4-05-20,4-06-20,4-07-20,4-08-20,4-09-20,4-10-20,4-11-20,4-12-20,4-13-20,4-14-20,4-15-20,4-16-20,4-17-20,4-18-20,4-19-20,4-20-20,4-21-20,4-22-20,4-23-20,4-24-20,4-25-20,4-26-20,4-27-20,4-28-20,4-29-20,4-30-20,5-01-20,5-02-20,5-03-20,5-04-20,5-05-20,5-06-20,5-07-20,5-08-20,5-09-20,5-10-20,5-11-20,5-12-20,5-13-20,5-14-20,5-15-20,5-16-20,5-17-20,5-18-20,5-19-20,5-20-20,5-21-20,5-22-20,5-23-20,5-24-20
0,"Contra Costa CA",1153526,0,0,0,0,0,0,0,0,0,1,1,3,3,9,9,10,10,10,25,29,29,34,39,41,42,46,51,61,71,86,108,131,151,168,175,187,222,250,276,307,353,386,417,442,462,484,511,530,539,552,600,615,631,648,685,693,707,749,763,770,786,805,817,820,842,862,891,907,934,945,947,969,985,999,1014,1036,1048,1048,1066,1080,1089,1100,1121,1146,1155,1192,1209,1234,1259,1296,1321
1,"Orange CA",3175692,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,6,6,13,14,17,22,29,42,53,65,78,95,125,152,187,256,321,403,431,464,502,606,656,711,786,834,882,931,1016,1079,1138,1221,1277,1283,1299,1376,1425,1501,1556,1636,1676,1691,1753,1827,1845,1969,2074,2126,2151,2252,2393,2537,2636,2743,2819,2873,3004,3092,3240,3380,3502,3557,3602,3749,3968,4125,4222,4376,4434,4500,4742,4841,4941,5157,5336
2,"Alameda CA",1671329,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,7,7,15,18,27,31,35,45,65,106,122,124,135,163,220,256,270,283,313,359,396,443,537,566,588,634,674,713,766,806,843,884,884,962,1007,1061,1114,1164,1191,1239,1280,1350,1401,1437,1468,1498,1533,1568,1603,1636,1705,1749,1776,1809,1863,1917,1961,2023,2064,2101,2133,2178,2234,2300,2351,2392,2457,2522,2560,2609,2708,2767,2847
3,"Imperial CA",181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,2,2,4,4,6,6,6,9,9,17,21,25,25,33,33,43,50,55,55,65,68,73,75,79,79,87,87,100,117,117,143,143,155,160,160,195,214,232,251,251,251,284,304,319,333,358,358,358,379,400,419,455,512,512,512,564,603,647,712,786,786,786,876,902,985,985,1145,1145,1145
4,"Riverside CA",2470546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,8,8,8,8,14,15,16,16,22,28,30,45,47,59,107,107,185,195,233,291,371,429,493,638,665,799,946,1016,1179,1280,1350,1431,1619,1751,1961,2105,2264,2457,2602,2638,2847,2960,3084,3218,3315,3409,3563,3643,3735,3942,4031,4079,4164,4180,4354,4454,4672,4756,4817,4992,5039,5189,5248,5343,5440,5618,5618,5618,5952,6053,6184,6343,6464,6464,6464
5,"San Diego CA",3338330,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,8,8,39,53,58,75,89,120,148,194,230,242,297,341,417,488,519,603,734,849,966,1112,1209,1326,1404,1454,1530,1628,1693,1761,1804,1847,1930,2012,2087,2158,2213,2268,2325,2434,2491,2643,2826,2943,3043,3141,3314,3432,3564,3711,3842,3927,4020,4160,4319,4429,4662,4776,4926,5065,5161,5278,5391,5523,5662,5836,5946,6026,6140,6315,6434,6559,6701
6,"San Francisco CA",881549,0,0,0,0,0,0,0,0,0,0,2,2,9,9,15,15,18,18,23,28,37,40,43,51,70,84,84,108,131,152,178,223,279,308,340,374,397,434,450,497,529,568,583,622,676,724,797,857,872,957,987,1013,1019,1058,1137,1157,1216,1231,1233,1302,1340,1354,1408,1424,1468,1490,1499,1523,1543,1602,1624,1728,1754,1806,1853,1891,1943,1954,1977,1994,1999,2026,2054,2054,2131,2179,2185,2198,2320,2350,2367
7,"San Mateo CA",766573,0,0,0,0,0,0,0,1,2,2,2,2,2,2,9,15,15,15,20,32,32,41,64,80,97,110,110,117,142,161,165,195,239,274,277,309,309,388,453,486,538,555,579,589,617,633,638,652,652,701,721,747,767,797,838,838,920,935,958,966,989,1019,1019,1080,1099,1136,1177,1197,1233,1233,1281,1315,1341,1341,1397,1425,1425,1464,1497,1515,1536,1575,1602,1602,1671,1687,1697,1738,1783,1833,1833
8,"Santa Clara CA",1927852,5,5,7,7,9,13,13,18,20,24,31,40,49,53,70,85,111,134,180,223,255,290,337,390,442,504,543,581,655,724,801,875,937,978,1001,1079,1135,1189,1246,1286,1317,1359,1413,1453,1528,1595,1674,1715,1741,1779,1820,1843,1863,1899,1909,1921,1932,1934,1946,1987,2018,2040,2084,2105,2122,2134,2163,2179,2204,2231,2244,2255,2268,2281,2290,2307,2339,2341,2364,2381,2391,2403,2418,2453,2470,2483,2492,2492,2546,2571,2617
9,"Santa Cruz CA",273213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,7,9,13,13,14,15,15,15,22,24,25,32,34,39,44,45,49,54,57,59,62,69,71,76,76,80,80,82,88,91,91,96,96,98,101,104,106,108,111,114,115,115,120,124,125,127,131,132,134,137,137,138,138,139,140,141,141,141,146,146,149,149,157,159,163,165,168,174,186,192,192
