#index	5-24-20	5-21-20	5-18-20	5-4-20	Location	Population
0	1321	1234	1155	947	"Contra Costa CA"	1153526
1	5336	4841	4434	2819	"Orange CA"	3175692
2	2847	2609	2457	1776	"Alameda CA"	1671329
3	1145	985	876	379	"Imperial CA"	181215
4	6464	6343	5952	4354	"Riverside CA"	2470546
5	6701	6315	5946	4020	"San Diego CA"	3338330
6	2367	2198	2131	1624	"San Francisco CA"	881549
7	1833	1738	1671	1281	"San Mateo CA"	766573
8	2617	2492	2470	2244	"Santa Clara CA"	1927852
9	192	174	163	137	"Santa Cruz CA"	273213
10	3	3	3	1	"Gilpin CO"	6243
11	928	890	857	679	"Boulder CO"	326196
12	220	218	213	167	"Broomfield CO"	70465
13	5173	4948	4720	3428	"Denver CO"	727211
14	2406	2358	2305	1897	"Weld CO"	324492
15	537	517	495	393	"Larimer CO"	356899
16	6	5	5	5	"Grand CO"	15734
17	60	60	54	33	"Oldham KY"	66799
18	92	84	76	31	"Shelby KY"	49024
19	104	101	98	56	"Bullitt KY"	81676
20	2050	1994	1916	1419	"Jefferson KY"	766757
21	2403	2228	2082	1434	"Hamilton OH"	817473
22	16	16	16	14	"Spencer KY"	19351
23	42	38	34	20	"Barren KY"	44249
24	15	15	13	9	"Anderson KY"	22747
25	37	36	21	20	"Clark KY"	36263
26	25	19	19	17	"Woodford KY"	26734
27	51	50	50	40	"Jessamine KY"	54115
28	619	596	564	295	"Fayette KY"	323152
29	34	34	33	24	"Scott KY"	57004
30	45	45	45	30	"Madison KY"	92987
31	8	8	8	8	"Crawford MO"	23920
32	138	137	135	125	"Franklin MO"	103967
33	320	313	311	278	"Jefferson MO"	225081
34	741	712	695	611	"St. Charles MO"	402022
35	4479	4323	4182	3419	"St. Louis MO"	994205
36	26	25	25	21	"Warren MO"	35649
37	31	30	29	27	"St. Francois MO"	67215
38	2	2	2	2	"Gasconade MO"	14706
39	1313	1273	1218	944	"Bernalillo NM"	679121
40	122	113	103	69	"Cibola NM"	26675
41	529	528	495	421	"Sandoval NM"	146748
42	129	127	124	108	"Santa Fe NM"	150358
43	19	19	18	16	"Torrance NM"	15461
44	70	69	68	50	"Valencia NM"	76688
45	114	114	110	85	"Livingston NY"	62914
46	202	174	167	97	"Orleans NY"	40352
47	191	188	180	159	"Genesee NY"	57280
48	2697	2530	2303	1595	"Monroe NY"	741770
49	184	176	148	96	"Ontario NY"	109777
50	108	103	97	76	"Wayne NY"	89918
51	77	72	65	51	"Cayuga NY"	76576
52	1953	1771	1520	971	"Onondaga NY"	460528
53	55	52	51	45	"Seneca NY"	34016
54	39	36	35	28	"Cortland NY"	47581
55	151	145	141	129	"Tompkins NY"	102180
56	100	92	84	67	"Oswego NY"	117124
57	72	71	71	63	"Jefferson NY"	109834
58	197	195	192	178	"St. Lawrence NY"	107740
59	19	18	17	9	"Lewis NY"	26296
60	39837	39487	39225	36965	"Nassau NY"	1356924
61	25909	25522	25216	22900	"New York NY"	1628706
62	54175	53385	52485	47183	"Kings NY"	2559903
63	60636	60025	59324	54090	"Queens NY"	2253858
64	38964	38553	38224	35077	"Suffolk NY"	1476601
65	44137	43603	43158	39223	"Bronx NY"	1418207
66	32968	32673	32323	30097	"Westchester NY"	967506
67	8110	7788	7270	5170	"Washington DC"	705749
68	1897	1763	1638	1139	"Arlington VA"	236842
69	9482	8580	7843	4615	"Fairfax VA"	1147532
70	4702	4183	3759	2146	"Prince William VA"	470335
71	599	540	484	288	"Stafford VA"	152882
72	2047	1700	1486	961	"Loudoun VA"	413538
73	285	261	223	140	"Fauquier VA"	71222
74	376	355	319	149	"Shenandoah VA"	43616
75	117	110	99	63	"Warren VA"	40164
76	271	245	217	126	"Frederick VA"	89313
77	22	19	18	10	"Clarke VA"	14619
78	13	12	12	6	"Rappahannock VA"	7370
79	16	16	16	14	"Columbia OR"	52354
80	12	12	12	10	"Hood River OR"	23382
81	1040	1026	996	754	"Multnomah OR"	812855
82	410	394	388	336	"Clark WA"	488241
83	72	71	68	59	"Cowlitz WA"	110593
84	3	3	3	3	"Skamania WA"	12083
85	63	50	45	36	"Effingham GA"	64296
86	445	408	363	246	"Chatham GA"	289430
87	34	30	30	26	"Hampton SC"	19222
88	335	306	294	269	"Beaufort SC"	192122
89	558	523	509	463	"Charleston SC"	411406
90	74	63	58	32	"Colleton SC"	37677
91	38	28	27	21	"Jasper SC"	30073
92	140	120	114	100	"Dorchester SC"	162809
93	20	20	17	13	"Bamberg SC"	14066
94	9	8	6	2	"Lee TX"	17239
95	29	29	28	23	"Burnet TX"	48155
96	298	282	248	194	"Bell TX"	362924
97	270	250	219	168	"Hays TX"	230191
98	177	161	132	89	"Bastrop TX"	88723
99	2788	2644	2459	1756	"Travis TX"	1273954
100	541	513	481	323	"Williamson TX"	590551
101	50	41	36	21	"Caldwell TX"	43664
102	8	7	6	6	"Blanco TX"	11931
